Product,Vendor Item Name,Category,Item Code,Packaging,Price,Qty,Line Price
"Lettuce, Romaine Hearts",Romaine Hearts Fresh,Produce,109120,Case/12/3EA,54.77,1,54.77
"Lettuce, Spring Mix",Lettuce Spring Mix Ams,Produce,109121,Case/3LB,14.49,3,43.47
"Limes, Fresh",Limes Ams,Produce,109122,Case/54/1EA,33.56,1,33.56
"Onions, Yellow",Onion Spanish Yellow Jumbo,Produce,109147,Case/1/50LB,44.98,1,44.98
"Chicken, Wings",Chicken Wing Jumb Fc,Meat,410222,Case/2/5LB,47.77,6,286.62
FRIED CHICKEN,Chicken Authentically Crispy,"Dairy,Grocery and Dry Goods,Meat",410550,Case/2/5LB,47.87,4,191.48
French Fries 3/8 Super Crunch,Fries 3/8 Super Crunch,Food Purchases,700706,Case/4/5.51LB,39.98,6,239.88
"Pretzel, Soft",Pretzel Stick Bavarian,Grocery and Dry Goods,932914,Case/72/2.4OZ,36.97,2,73.94
"Haddock, Fillet Battered",Haddock Fillet Yuengling,Seafood,960051,Case/27/6OZ,85.77,1,85.77
"Salmon, Fillet 8oz",Salmon 6oz norvwegian IVP,Seafood,682204,Case/26/6OZ,128.9,1,128.9
Taxes/PST,,,,,,,1.88
